time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,40,12,0,0
2026-05-01 00:00:00+00:00,43,17,1,1
2026-05-02 00:00:00+00:00,73,18,0,0
2026-05-03 00:00:00+00:00,41,13,0,0
2026-05-04 00:00:00+00:00,16,6,0,0
2026-05-05 00:00:00+00:00,38,11,0,0
2026-05-06 00:00:00+00:00,11,6,0,0
2026-05-07 00:00:00+00:00,26,9,0,0
2026-05-08 00:00:00+00:00,45,14,0,0
2026-05-09 00:00:00+00:00,18,8,0,0
2026-05-10 00:00:00+00:00,14,9,0,0
2026-05-11 00:00:00+00:00,8,3,0,0
2026-05-12 00:00:00+00:00,34,13,0,0
2026-05-13 00:00:00+00:00,23,8,0,0
