time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,3,3,0,0
2026-08-30 00:00:00+00:00,9,3,0,0
2026-08-31 00:00:00+00:00,4,3,4,1
2026-09-01 00:00:00+00:00,3,3,0,0
2026-09-02 00:00:00+00:00,14,5,0,0
2026-09-03 00:00:00+00:00,7,5,0,0
2026-09-04 00:00:00+00:00,9,6,0,0
2026-09-05 00:00:00+00:00,5,5,0,0
2026-09-06 00:00:00+00:00,2,2,0,0
2026-09-07 00:00:00+00:00,6,5,0,0
2026-09-08 00:00:00+00:00,20,20,0,0
2026-09-09 00:00:00+00:00,4,3,0,0
2026-09-10 00:00:00+00:00,22,10,0,0
2026-09-11 00:00:00+00:00,12,9,0,0
