time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,28,9,0,0
2026-06-09 00:00:00+00:00,30,11,0,0
2026-06-10 00:00:00+00:00,20,7,0,0
2026-06-11 00:00:00+00:00,26,8,0,0
2026-06-12 00:00:00+00:00,39,14,0,0
2026-06-13 00:00:00+00:00,17,6,0,0
2026-06-14 00:00:00+00:00,26,7,0,0
2026-06-15 00:00:00+00:00,33,8,0,0
2026-06-16 00:00:00+00:00,17,6,0,0
2026-06-17 00:00:00+00:00,9,4,0,0
2026-06-18 00:00:00+00:00,38,13,0,0
2026-06-19 00:00:00+00:00,79,25,0,0
2026-06-20 00:00:00+00:00,45,13,0,0
2026-06-21 00:00:00+00:00,43,11,0,0
